id,PROJECTNUMBER,MW,PROJECT_CITY,STATE,PROJECT_COUNTRY,CORE_MARKET,PROJECT_TYPE,SIZE_BUILDINGSIZE,NUMFLOORS,invoiceId,invoiceDate,invoiceTotal,ItemDescription,MasterItemNo,QtyShipped,UOM,ExtendedQuantity,PriceUOM,UnitPrice,ExtendedPrice,CONSTRUCTION_START_DATE,SUBSTANTIAL_COMPLETION_DATE,REVISED_ESTIMATE
7377,A0-0162,,lucknow,uttar pradesh,india,bio innovation,r amp d laboratories,288000.0,0.0,B0-1655,2024-05-09,394570.9, 6 x 1 1 4 scorpion bugle head drill point zinc 8m,46796.0,3.0,BX,3.0,BX,8976.25,26928.75,2022-05-06,2025-05-30 00:00:00,15598821597.0
9677,A0-0219,,indore,madhya pradesh,india,misc market,learning hub,40000.0,2.0,B0-2412,2023-02-27,2720052.58,4 x 10 track 1 1 2 leg 16ga,50891.0,8.0,PC,0.08,ML,137190.5,10975.24,2021-12-14,2023-11-17 12:00:00,3600136735.0
7299,A0-0194,,bhopal,madhya pradesh,india,enterprise,workspace,262400.0,,B0-1642,2024-05-01,50186.005,2 1 2 x 10 track 1 1 4 leg 18ga,59996.0,10.0,PC,0.1,ML,90180.0,9018.0,2022-04-01,2024-06-18 00:00:00,1458294768.0
13089,A0-0023,,kolkata,west bengal,india,enterprise,hospitality hall,435000.0,11.0,B0-3676,2024-10-15,131595.165,6 x 10 flat strap 20ga 30mil,61409.0,140.0,PC,1.4,ML,88259.5,123563.3,2022-08-15,2025-01-21 00:00:00,23204555261.0
5599,A0-0175,,nagpur,maharashtra,india,wellness,health center,1596.0,,B0-1207,2024-02-08,616143.16,3 4 x 2 x 4 usg mars sq 48sf white 6 ct,59801.0,8.0,CT,0.384,MS,219187.5,84168.0,2023-09-14,2024-07-31 12:00:00,76979735.5
8204,A0-0155,,surat,gujarat,india,misc market,workspace,838094.0,41.0,B0-1884,2023-01-30,98464.87,6 x 10 flat strap 18ga 43mil lvl 7 area 2,61410.0,50.0,PC,0.5,ML,106462.5,53231.25,2019-09-02,2023-12-29 17:00:00,15673671106.0
4360,A0-0065,,patna,bihar,india,tertiary learning,r amp d laboratories,1800.0,,B0-0436,2023-08-14,291192.055,2 1 2 20ga dw stud 12 ,61187.0,90.0,pcs,1080.0,,50601.0,0.01,2023-05-29,2023-08-29 12:00:00,47040476.5
9408,A0-0249,,vadodara,gujarat,india,tertiary learning,r amp d laboratories,3165.0,1.0,B0-2310,2023-05-05,327090.375,4 x 16 c t stud 20ga 30mil,66537.0,40.0,PC,0.64,ML,170924.5,109391.68,2023-01-01,2024-08-31 00:00:00,483032857.4
5240,A0-0161,,coimbatore,tamil nadu,india,tertiary learning,misc build,34000.0,2.0,B0-1110,2024-01-04,58825.75,1 1 2 x 1 1 2 x 10 angle 20ga 33mil,51164.0,40.0,PC,0.4,ML,37742.0,15096.8,2020-09-01,2024-04-05 00:00:00,1642865619.0
1473,A0-0011,,thiruvananthapuram,kerala,india,wellness,ambulatory care,80000.0,,B0-0330,2023-07-03,116800.635,7 1 4 24t round arbor marathon blade irwin,25234.0,20.0,,,,798.26,15965.2,2022-08-01,2025-02-05 00:00:00,5447968752.0
10796,A0-0162,,lucknow,uttar pradesh,india,bio innovation,r amp d laboratories,288000.0,0.0,B0-2769,2023-08-17,640525.16, 6 x 1 7 8 scorpion bugle head drill point zinc 4m,46798.0,1.0,BX,1.0,BX,6554.75,6554.75,2022-05-06,2025-05-30 00:00:00,15598821597.0
5578,A0-0162,,lucknow,uttar pradesh,india,bio innovation,r amp d laboratories,288000.0,0.0,B0-1199,2024-01-22,13663.105,grabber quick change utility knife,26847.0,4.0,EA,4.0,EA,709.75,2839.0,2022-05-06,2025-05-30 00:00:00,15598821597.0
12811,A0-0186,,pune,maharashtra,india,misc market,workspace,171000.0,5.0,B0-3578,2024-09-03,611164.89,3 5 8 x 10 track 1 1 2 leg 20ga 33mil,50875.0,60.0,PC,0.6,ML,61038.5,36623.1,2021-10-18,2026-06-02 00:00:00,15701858802.0
6400,A0-0004,,bengaluru,karnataka,india,enterprise,workspace,2800000.0,0.0,B0-1421,2024-03-14,478378.18,6 x 10 track 1 1 2 leg 16ga 54mil ,50879.0,30.0,PC,0.3,ML,197561.0,59268.3,2020-02-03,2025-10-31 00:00:00,34925565107.0
5564,A0-0163,,kochi,kerala,india,wellness,health center,19500.0,,B0-1193,2024-01-23,133135.74,5 8 x 4 x 9 type x drywall,61215.0,100.0,PC,3.6,MS,34235.0,123246.0,2023-05-26,2025-05-02 08:00:00,714978787.5
10888,A0-0023,,kolkata,west bengal,india,enterprise,hospitality hall,435000.0,11.0,B0-2793,2023-09-19,245195.245,4 x 10 tabbed j track 1 x 2 1 4 legs 20ga 33mil,60958.0,10.0,PC,0.1,ML,127922.0,12792.2,2022-08-15,2025-01-21 00:00:00,23204555261.0
12176,A0-0023,,kolkata,west bengal,india,enterprise,hospitality hall,435000.0,11.0,B0-3303,2024-03-21,576223.48,6 x 10 stud 1 5 8 flange 16ga,40328.0,20.0,PC,0.2,ML,239311.0,47862.2,2022-08-15,2025-01-21 00:00:00,23204555261.0
6149,A0-0068,,visakhapatnam,andhra pradesh,india,enterprise,critical ops,265850.0,0.0,B0-1357,2024-02-29,61957.0,12 x 77 arrow 4 ceiling tile workstation,66901.0,1.0,EA,1.0,EA,58450.0,58450.0,2022-09-12,2023-10-02 00:00:00,4131524341.0
11669,A0-0020,,chandigarh,chandigarh,india,future tech,critical ops,1400000.0,2.0,B0-3120,2023-11-15,461120.4,12 x 1 64 usg fire rated hd main tee donn dxl white 050 20 bx,60203.0,30.0,CT,7.2,ML,64044.5,461120.4,2022-06-13,2026-02-04 00:00:00,134000000000.0
2211,A0-0075,,mumbai,maharashtra,india,wellness,health center,750.0,0.0,B0-0481,2023-05-10,100885.535,arm x17348 4 x 15 16 cross tee white 60pc ct,61312.0,8.0,pcs,32.0,,77655.0,0.01,2023-02-06,2023-06-16 12:00:00,34491903.62
579,A0-0011,,thiruvananthapuram,kerala,india,wellness,ambulatory care,80000.0,,B0-0145,2023-02-03,310787.835,receive free 140xrj05z with purchase of qualyfing makita lxt kit,44218.0,2.0,,,,61.24265749999999,0.01,2022-08-01,2025-02-05 00:00:00,5447968752.0
1512,A0-0030,,jaipur,rajasthan,india,bio innovation,misc build,1046120.0,,B0-0343,2023-07-07,11872.865, 4 9 speed dowel 25 bag greenstreak,64196.0,4.0,,,,2754.665,11018.66,2022-06-01,2025-06-30 00:00:00,34018793433.0
6019,A0-0148,,guwahati,assam,india,enterprise,workspace,92942.0,,B0-1313,2024-02-14,470689.5,usg all purpose joint compound 4 5g pail,50016.0,104.0,PA,104.0,PA,1665.825,173245.8,2023-06-01,2024-08-23 12:00:00,1481952253.0
12026,A0-0004,,bengaluru,karnataka,india,enterprise,workspace,2800000.0,0.0,B0-3238,2023-12-20,453023.405,westpac fast set 40 lite 20 bag,66434.0,15.0,BG,15.0,BG,864.225,12963.375,2020-02-03,2025-10-31 00:00:00,34925565107.0
9747,A0-0161,,coimbatore,tamil nadu,india,tertiary learning,misc build,34000.0,2.0,B0-2416,2023-04-06,407970.145,6 x 10 track 1 1 4 leg 20ga 30mil,60759.0,20.0,PC,0.2,ML,100283.5,20056.7,2020-09-01,2024-04-05 00:00:00,1642865619.0
5928,A0-0148,,guwahati,assam,india,enterprise,workspace,92942.0,,B0-1290,2024-02-09,132079.465,2 x 2 x 10 angle 20ga 30mil,61343.0,20.0,PC,0.2,ML,63209.5,12641.9,2023-06-01,2024-08-23 12:00:00,1481952253.0
415,A0-0011,,thiruvananthapuram,kerala,india,wellness,ambulatory care,80000.0,,B0-0117,2023-01-10,156797.97,14pc 1 2dr deep impact socket set wright,62958.0,1.0,,,,17461.52,17461.52,2022-08-01,2025-02-05 00:00:00,5447968752.0
6606,A0-0192,,mysuru,karnataka,india,wellness,ambulatory care,1160.0,,B0-1489,2024-03-28,14112.335,westpac fast set 40 lite 20 bag,66434.0,5.0,BG,5.0,BG,864.225,4321.125,2021-08-16,2024-08-01 17:00:00,199959655.2
8399,A0-0208,,delhi,delhi,india,wellness,health center,31200.0,,B0-1957,2023-02-10,31563.0,3 5 8 10 slotted slip track 2 1 2 leg 20ga eq,60937.0,10.0,PC,0.1,ML,159485.0,15948.5,2022-11-01,2023-07-03 12:00:00,951166124.3
13320,A0-0023,,kolkata,west bengal,india,enterprise,hospitality hall,435000.0,11.0,B0-3778,2024-11-25,27234.36,national quick set lite 20 min 18 bag,55228.0,10.0,BG,10.0,BG,1022.875,10228.75,2022-08-15,2025-01-21 00:00:00,23204555261.0
4543,A0-0111,,rajkot,gujarat,india,wellness,health center,400000.0,9.0,B0-0785,2023-06-29,17535.0,3 4 23 32 1 1 2 x 96 ,63200.0,100.0,PCS  ,,,112.725,0.01,2022-12-05,2025-06-23 00:00:00,22955715208.0
427,A0-0009,,jaipur,rajasthan,india,enterprise,workspace,350000.0,4.0,B0-0123,2023-01-18,1218218.24,4 x180 tape stego,26774.0,15.0,,,,2967.59,44513.85,2022-09-06,2024-08-15 00:00:00,9895473728.0
622,A0-0009,,jaipur,rajasthan,india,enterprise,workspace,350000.0,4.0,B0-0150,2023-02-08,181665.105,5 8 x 15 3 4 x 23 3 4 sds max hollow bit dewalt,56728.0,2.0,,,,11360.175,22720.35,2022-09-06,2024-08-15 00:00:00,9895473728.0
2095,A0-0072,,mumbai,maharashtra,india,wellness,health center,1000.0,0.0,B0-0457,2023-03-31,103438.965,1 1 4 metal corner bead 10 ,58216.0,6.0,PCS,60.0,,32064.0,0.01,2023-03-06,2023-05-19 00:00:00,29582132.01
6342,A0-0004,,bengaluru,karnataka,india,enterprise,workspace,2800000.0,0.0,B0-1409,2024-03-06,105018.785,12 x 1 64 usg fire rated hd main tee donn dx dxl flat black 20 bx,66972.0,2.0,CT,0.48,ML,90096.5,43246.32,2020-02-03,2025-10-31 00:00:00,34925565107.0
2381,A0-0057,,varanasi,uttar pradesh,india,enterprise,workspace,523093.0,11.0,B0-0511,2023-07-05,59388.54,u s g mid weight mud 4 5 gallon pail purple,61282.0,10.0,can,10.0,,1983.125,0.01,2020-10-19,2023-07-10 12:00:00,12657755648.0
10045,A0-0023,,kolkata,west bengal,india,enterprise,hospitality hall,435000.0,11.0,B0-2461,2023-06-15,-4446.375,6 x 25 c t stud 20ga 33mil orig inv 1006376817 001,61010.0,1.0,PC,,ML,191465.5,0.01,2022-08-15,2025-01-21 00:00:00,23204555261.0
2341,A0-0016,,mumbai,maharashtra,india,enterprise,workspace,3300.0,0.0,B0-0502,2023-07-01,18776.645,n95 respirator 8200 3m respirator 20 box,51854.0,1.0,box,1.0,,1681.69,0.01,2023-02-27,2023-11-30 00:00:00,169152463.0
266,A0-0004,,bengaluru,karnataka,india,enterprise,workspace,2800000.0,0.0,B0-0075,2023-05-25,102187.3,10 1oz cetseal sealant adhesive cetco,58121.0,9.0,,,,1404.47,12640.23,2020-02-03,2025-10-31 00:00:00,34925565107.0
3026,A0-0095,,kanpur,uttar pradesh,india,bio innovation,r amp d laboratories,0.0,0.0,B0-0624,2023-02-06,32489.015,1 5 8 20ga dw track 10 w 1 1 4 leg,61265.0,2.0,PCS,20.0,,47261.0,0.01,2021-10-01,2023-05-05 00:00:00,547170426.5
10456,A0-0004,,bengaluru,karnataka,india,enterprise,workspace,2800000.0,0.0,B0-2646,2023-07-31,687161.58,1 1 2 x 1 1 2 x 10 angle 18ga 43mil 4th floor,61323.0,40.0,PC,0.4,ML,55360.5,22144.2,2020-02-03,2025-10-31 00:00:00,34925565107.0
5280,A0-0003,,ahmedabad,gujarat,india,future tech,critical ops,450000.0,,B0-1115,2024-01-18,1105773.8,6 x 19 8 stud 1 5 8 flange 16ga,60695.0,160.0,PC,3.147,ML,196225.0,617455.78,2021-07-12,2024-11-01 17:00:00,14191958070.0
6248,A0-0023,,kolkata,west bengal,india,enterprise,hospitality hall,435000.0,11.0,B0-1380,2024-02-29,125387.775,2 x 2 x 10 angle 20ga 30mil,61343.0,200.0,PC,2.0,ML,58867.5,117735.0,2022-08-15,2025-01-21 00:00:00,23204555261.0
8910,A0-0028,,agra,uttar pradesh,india,wellness,ambulatory care,4500.0,0.0,B0-2134,2023-03-29,17861.485,3 5 8 x 10 track 1 1 4 leg 20ga eq,60409.0,10.0,PC,0.1,ML,49265.0,4926.5,2023-01-23,2023-07-07 12:00:00,165263859.7
10538,A0-0004,,bengaluru,karnataka,india,enterprise,workspace,2800000.0,0.0,B0-2680,2023-08-08,2986534.48,6 x 12 track 1 1 2 leg 14ga,60191.0,90.0,PC,1.08,ML,227955.0,246191.4,2020-02-03,2025-10-31 00:00:00,34925565107.0
6109,A0-0164,,amritsar,punjab,india,bio innovation,pharma synth,40000.0,,B0-1341,2024-02-19,70557.5,3 5 8 x 10 stud 1 5 8 flange 18ga,63667.0,20.0,PC,0.2,ML,132347.5,26469.5,2022-11-01,2025-06-11 00:00:00,7712088582.0
9363,A0-0268,,nagpur,maharashtra,india,wellness,health center,3321.0,,B0-2293,2023-05-11,327016.06,1 1 2 x 4 usg donn ax 15 16 cross tee aluminum with ss clips flat white 60 bx ,66911.0,71.0,PC,0.284,ML,224364.5,63719.685,2023-02-01,2023-10-13 12:00:00,115452736.3
2089,A0-0072,,mumbai,maharashtra,india,wellness,health center,1000.0,0.0,B0-0457,2023-03-31,103438.965,3 5 8 20ga dw track 10 w 1 1 4 leg,61206.0,10.0,pcs,100.0,,65464.0,0.01,2023-03-06,2023-05-19 00:00:00,29582132.01
12942,A0-0183,,ludhiana,punjab,india,bio innovation,r amp d laboratories,250000.0,0.0,B0-3618,2024-09-11,227457.34,3 5 8 x 10 track 1 1 4 leg 20ga eq,60409.0,20.0,PC,0.2,ML,43002.5,8600.5,2021-04-05,2024-08-23 00:00:00,8656553408.0
2143,A0-0073,,jodhpur,rajasthan,india,wellness,health center,120000.0,3.0,B0-0468,2023-04-05,15798.2, 8 x 2 wafer head sharp point 5lb screw v3151,63918.0,2.0,box,2.0,,4364.545,0.01,2021-05-03,2023-09-08 12:00:00,6223919374.0
4192,A0-0057,,varanasi,uttar pradesh,india,enterprise,workspace,523093.0,11.0,B0-0707,2023-02-10,211007.84,arm 4 1 piece axiom dw trim straight 10 white,63892.0,16.0,pc,16.0,,12441.5,0.01,2020-10-19,2023-07-10 12:00:00,12657755648.0
9758,A0-0161,,coimbatore,tamil nadu,india,tertiary learning,misc build,34000.0,2.0,B0-2416,2023-04-06,407970.145,12 x 10 flat strap 16ga 54mil g60,65139.0,10.0,PC,0.1,ML,254675.0,25467.5,2020-09-01,2024-04-05 00:00:00,1642865619.0
4008,A0-0081,,mumbai,maharashtra,india,wellness,ambulatory care,1200.0,,B0-0541,2023-09-14,8780.025,quick set lite 20 settin g compound 18lb bag,55228.0,1.0,bag,1.0,,1369.4,0.01,2023-07-24,2023-09-15 12:00:00,17326083.0
1083,A0-0025,,jaipur,rajasthan,india,bio innovation,r amp d laboratories,249000.0,5.0,B0-0239,2023-05-01,19530.65,nose cone ass y makita 197024 6,63119.0,12.0,,,,1510.515,18126.18,2022-02-14,2024-10-17 00:00:00,7645779545.0
1672,A0-0018,,udaipur,rajasthan,india,enterprise,misc build,20000.0,,B0-0380,2023-09-26,81605.385,lhsp 48 wood handle union shovel ames,64043.0,2.0,EA,,,1454.57,2909.14,2022-04-04,2024-01-12 12:00:00,361624722.5
4220,A0-0057,,varanasi,uttar pradesh,india,enterprise,workspace,523093.0,11.0,B0-0716,2023-02-20,394554.2,3m venture 1540 3 x150 asj white tape,56646.0,16.0,roll,16.0,,3019.36,0.01,2020-10-19,2023-07-10 12:00:00,12657755648.0
9167,A0-0248,,ranchi,jharkhand,india,wellness,ambulatory care,12866.0,,B0-2232,2023-04-17,-9897.254999999992,12 hanger wire 12ga 50lb 133pc,65354.0,4.0,BD,4.0,BD,6262.5,25050.0,2023-02-20,2023-10-03 12:00:00,140673285.0
3112,A0-0079,,mumbai,maharashtra,india,enterprise,workspace,6133.0,0.0,B0-0632,2023-07-10,181804.55,drywall paper joint tape 250 roll 20 box,42172.0,2.0,roll,2.0,,354.04,0.01,2023-05-30,2023-10-04 12:00:00,184506781.2
3520,A0-0068,,visakhapatnam,andhra pradesh,india,enterprise,critical ops,265850.0,0.0,B0-0458,2023-03-31,28162.88,flat head tapcon 1 4 x 3 1 4 100 bx,66237.0,6.0,box,6.0,,1796.92,0.01,2022-09-12,2023-10-02 00:00:00,4131524341.0
9215,A0-0229,,bhubaneswar,odisha,india,enterprise,hospitality hall,500000.0,,B0-2253,2023-04-20,21694.135,1 1 4 x 10 clark quicksilver corner bead 50 bx,66932.0,1.0,CT,0.5,ML,21710.0,10855.0,2022-08-01,2023-06-02 00:00:00,2838833529.0
1972,A0-0057,,varanasi,uttar pradesh,india,enterprise,workspace,523093.0,11.0,B0-0441,2023-03-09,80256.86,2 3m 2090 sold by roll blue premium tape 180 ,52665.0,5.0,roll,5.0,,1071.305,0.01,2020-10-19,2023-07-10 12:00:00,12657755648.0
2609,A0-0082,,mumbai,maharashtra,india,enterprise,workspace,2568.0,0.0,B0-0549,2023-09-27,17862.32,5 8 firecode drywall 4 x 8 ,62237.0,2.0,PCS,64.0,,48012.5,0.01,2023-03-27,2023-09-08 12:00:00,129415982.0
7403,A0-0160,,cuttack,odisha,india,bio innovation,r amp d laboratories,55000.0,0.0,B0-1658,2024-05-10,30239.525,1 4 x 3 doc s industries i lag screw 1m,34439.0,1.0,BX,1.0,BX,5702.215,5702.215,2023-05-01,2024-08-22 17:00:00,2838119884.0
7666,A0-0162,,lucknow,uttar pradesh,india,bio innovation,r amp d laboratories,288000.0,0.0,B0-1727,2024-06-03,536500.025, 6 x 1 1 4 scorpion bugle head drill point zinc 8m,46796.0,3.0,BX,3.0,BX,8976.25,26928.75,2022-05-06,2025-05-30 00:00:00,15598821597.0
10808,A0-0156,,nagpur,maharashtra,india,wellness,health center,583000.0,,B0-2773,2023-09-19,584232.8,10 hanger wire 12ga with clip pin 100 bd,43460.0,2.0,BD,2.0,BD,8049.4,16098.8,2018-11-28,2024-08-23 00:00:00,23273459144.0
695,A0-0009,,jaipur,rajasthan,india,enterprise,workspace,350000.0,4.0,B0-0154,2023-02-10,656452.785,14 x140 15mil class a vapor barrier white roll wrapper stego,64529.0,16.0,,,,33362.425,533798.8,2022-09-06,2024-08-15 00:00:00,9895473728.0
9350,A0-0236,,madurai,tamil nadu,india,enterprise,workspace,30100.0,,B0-2289,2023-05-01,62342.77,12 x 1 64 usg non fire rated 15 16 main tee donn dx flat white 050 20 bx,49025.0,1.0,CT,0.24,ML,94772.5,22745.4,2022-11-01,2023-04-12 12:00:00,408404495.3
11406,A0-0189,,vadodara,gujarat,india,enterprise,workspace,114807.0,4.0,B0-3020,2023-10-27,437699.485,5 8 x 3 4 x 10 fry reglet drywall reveal chemical film,67072.0,70.0,PC,0.7,ML,280894.0,196625.8,2023-06-01,2024-01-18 17:00:00,1730968970.0
10651,A0-0189,,vadodara,gujarat,india,enterprise,workspace,114807.0,4.0,B0-2715,2023-08-14,492022.915,1 5 8 x 10 track 1 1 4 leg 20ga eq,53691.0,40.0,PC,0.4,ML,38243.0,15297.2,2023-06-01,2024-01-18 17:00:00,1730968970.0
7073,A0-0023,,kolkata,west bengal,india,enterprise,hospitality hall,435000.0,11.0,B0-1606,2024-05-02,176298.56,1 1 2 x 3 1 2 x 10 angle 14ga 68mil,61423.0,50.0,PC,0.5,ML,331077.5,165538.75,2022-08-15,2025-01-21 00:00:00,23204555261.0
11971,A0-0162,,lucknow,uttar pradesh,india,bio innovation,r amp d laboratories,288000.0,0.0,B0-3217,2023-12-12,422717.08,4 x 10 tabbed j track 1 x 2 1 4 legs 20ga 33mil,60958.0,80.0,PC,0.8,ML,99156.25,79325.0,2022-05-06,2025-05-30 00:00:00,15598821597.0
11170,A0-0174,,ranchi,jharkhand,india,bio innovation,r amp d laboratories,1593.0,,B0-2912,2023-09-21,66972.01,ruco all purpose 4 5g pail,66751.0,20.0,PA,20.0,PA,1607.375,32147.5,2023-04-10,2024-02-26 12:00:00,128152645.4
11690,A0-0004,,bengaluru,karnataka,india,enterprise,workspace,2800000.0,0.0,B0-3128,2023-11-30,367297.295,4 x 14 stud 1 5 8 flange 20ga 33mil,60569.0,54.0,PC,0.756,ML,107130.5,80990.825,2020-02-03,2025-10-31 00:00:00,34925565107.0
8367,A0-0166,,chennai,tamil nadu,india,tertiary learning,learning hub,184000.0,0.0,B0-1947,2023-02-20,3458709.445,3 5 8 x 16 stud 2 flange 12ga unpunched,66505.0,10.0,PC,0.16,ML,328071.5,52491.44,2019-11-19,2025-01-24 12:00:00,15539779791.0
5934,A0-0148,,guwahati,assam,india,enterprise,workspace,92942.0,,B0-1291,2024-02-09,223703.18,3 5 8 x 10 track 1 1 4 leg 20ga eq,60409.0,60.0,PC,0.6,ML,58366.5,35019.9,2023-06-01,2024-08-23 12:00:00,1481952253.0
4915,A0-0023,,kolkata,west bengal,india,enterprise,hospitality hall,435000.0,11.0,B0-1035,2024-02-19,316137.68,250 usg joint tape 20 bx,42172.0,30.0,CT,600.0,RL,396.625,237975.0,2022-08-15,2025-01-21 00:00:00,23204555261.0
11864,A0-0003,,ahmedabad,gujarat,india,future tech,critical ops,450000.0,,B0-3169,2023-11-30,278847.415,1 1 2 x 10 u channel crc 1 2 leg 16ga 54mil,51168.0,40.0,PC,0.4,ML,52855.5,21142.2,2021-07-12,2024-11-01 17:00:00,14191958070.0
4843,A0-0134,,ranchi,jharkhand,india,enterprise,workspace,600000.0,,B0-0981,2023-09-22,,storage tote dark indigo polyethylene,62703.0,4.0,,,,1616.56,0.01,2021-06-24,2023-06-16 12:00:00,6896114767.0
6221,A0-0023,,kolkata,west bengal,india,enterprise,hospitality hall,435000.0,11.0,B0-1373,2024-02-27,1218022.85,4 x 12 tabbed j track 1 x 2 1 4 legs 20ga 33mil,60957.0,16.0,PC,0.192,ML,127922.0,24560.69,2022-08-15,2025-01-21 00:00:00,23204555261.0
5107,A0-0003,,ahmedabad,gujarat,india,future tech,critical ops,450000.0,,B0-1092,2024-01-09,992648.0,6 x 10 flat strap 16ga 54mil,56907.0,100.0,PC,1.0,ML,126753.0,126753.0,2021-07-12,2024-11-01 17:00:00,14191958070.0
8383,A0-0166,,chennai,tamil nadu,india,tertiary learning,learning hub,184000.0,0.0,B0-1951,2023-02-26,2547963.255,2 1 2 x 12 stud 2 flange 16ga last punch out 2 8 ,59988.0,14.0,PC,0.168,ML,138192.5,23216.34,2019-11-19,2025-01-24 12:00:00,15539779791.0
13247,A0-0327,,coimbatore,tamil nadu,india,wellness,health center,300.0,,B0-3732,2024-11-05,35912.515,500 hamilton wallboard jt blue tape 10 bx,62274.0,2.0,RL,2.0,RL,417.5,835.0,2024-11-11,2024-12-10 00:00:00,10648755.0
5235,A0-0161,,coimbatore,tamil nadu,india,tertiary learning,misc build,34000.0,2.0,B0-1110,2024-01-04,58825.75,1 5 8 x 10 stud 1 1 4 flange 20ga eq,60899.0,80.0,PC,0.8,ML,31646.5,25317.2,2020-09-01,2024-04-05 00:00:00,1642865619.0
8588,A0-0217,,kolkata,west bengal,india,enterprise,workspace,300000.0,,B0-2016,2023-02-27,38794.935,3 5 8 x 10 slotted slip track 2 1 2 leg 20ga 30mil,60938.0,25.0,PC,0.25,ML,145707.5,36426.875,2022-06-21,2023-09-27 12:00:00,3572485583.0
12724,A0-0023,,kolkata,west bengal,india,enterprise,hospitality hall,435000.0,11.0,B0-3537,2024-08-16,96741.43,6 x 10 flat strap 16ga 54mil,56907.0,5.0,PC,0.05,ML,157230.5,7861.525,2022-08-15,2025-01-21 00:00:00,23204555261.0
7749,A0-0044,,ahmedabad,gujarat,india,future tech,critical ops,50000.0,,B0-1753,2024-06-11,364150.18, 6 x 1 1 4 grabber scavenger head drivall self drill point 8m,37949.0,1.0,BX,1.0,BX,8412.625,8412.625,2022-12-16,2024-12-31 00:00:00,1047313632.0
1464,A0-0014,,jaipur,rajasthan,india,bio innovation,misc build,680000.0,8.0,B0-0328,2023-06-29,293825.645,16 r tec sds max rotary hammer bull point bosch,64118.0,1.0,EA,,,1592.345,1592.345,2022-04-11,2024-09-17 12:00:00,7554544515.0
3108,A0-0079,,mumbai,maharashtra,india,enterprise,workspace,6133.0,0.0,B0-0632,2023-07-10,181804.55,goldbond multi use mud 5 gallon can red,58211.0,2.0,can,2.0,,1983.125,0.01,2023-05-30,2023-10-04 12:00:00,184506781.2
